KyNangMem,NNLT,QuyMoCongTy,LinhVuc,KhuVuc,NgoaiNgu,KinhNghiem,Luong
GT,PB,TB,Mobile,KV2,TB,Junior,1000-1500
LVN,PB,TB,Mobile,KV3,CB,Junior,1000-1500
GT,PB,TB,Mobile,KV3,KC,Junior,1000-1500
QLTG,PB,TB,Mobile,KV3,TT,Junior,1000-1500
TT,PB,TB,Mobile,KV3,TB,Junior,1000-1500
LVN,PB,NHO,FrontEnd,KV1,CB,Junior,1000-1500
GT,PB,NHO,FrontEnd,KV1,KC,Junior,1000-1500
QLTG,PB,NHO,FrontEnd,KV1,TT,Junior,1000-1500
TT,PB,NHO,FrontEnd,KV1,TB,Junior,1000-1500
QLTG,PB,NHO,FrontEnd,KV2,CB,Junior,1000-1500
TT,PB,NHO,FrontEnd,KV2,KC,Junior,1000-1500
GT,PB,NHO,FrontEnd,KV2,TT,Junior,1000-1500
QLTG,PB,NHO,FrontEnd,KV2,TB,Junior,1000-1500
TT,PB,NHO,FrontEnd,KV3,CB,Junior,1000-1500
QLTG,PB,NHO,FrontEnd,KV3,KC,Junior,1000-1500
LVN,PB,NHO,FrontEnd,KV3,TT,Junior,1000-1500
GT,PB,NHO,FrontEnd,KV3,TB,Junior,1000-1500
LVN,PB,NHO,BackEnd,KV1,CB,Junior,1000-1500
GT,PB,NHO,BackEnd,KV1,KC,Junior,1000-1500
GT,PB,NHO,BackEnd,KV1,TT,Junior,1000-1500
TT,PB,NHO,BackEnd,KV1,TB,Junior,1000-1500
GT,PB,NHO,BackEnd,KV2,CB,Junior,1000-1500
LVN,PB,NHO,BackEnd,KV2,KC,Junior,1000-1500
LVN,PB,NHO,BackEnd,KV2,TT,Junior,1000-1500
TT,PB,NHO,BackEnd,KV2,TB,Junior,1000-1500
TT,PB,NHO,BackEnd,KV3,CB,Junior,1000-1500
LVN,PB,NHO,BackEnd,KV3,KC,Junior,1000-1500
TT,PB,NHO,BackEnd,KV3,TT,Junior,1000-1500
QLTG,PB,NHO,BackEnd,KV3,TB,Junior,1000-1500
QLTG,PB,NHO,Mobile,KV1,CB,Junior,1000-1500
GT,PB,NHO,Mobile,KV1,KC,Junior,1000-1500
GT,PB,NHO,Mobile,KV1,TT,Junior,1000-1500
QLTG,PB,NHO,Mobile,KV1,TB,Junior,1000-1500
GT,PB,NHO,Mobile,KV2,CB,Junior,1000-1500
LVN,PB,NHO,Mobile,KV2,KC,Junior,1000-1500
QLTG,PB,NHO,Mobile,KV2,TT,Junior,1000-1500
QLTG,PB,NHO,Mobile,KV2,TB,Junior,1000-1500
GT,PB,NHO,Mobile,KV3,CB,Junior,1000-1500
LVN,PB,NHO,Mobile,KV3,KC,Junior,1000-1500
LVN,PB,NHO,Mobile,KV3,TT,Junior,1000-1500
TT,PB,NHO,Mobile,KV3,TB,Junior,1000-1500
TT,PB,LON,FrontEnd,KV1,CB,Junior,1000-1500
QLTG,PB,LON,FrontEnd,KV1,KC,Junior,1000-1500
QLTG,PB,LON,FrontEnd,KV1,TT,Junior,1000-1500
TT,PB,LON,FrontEnd,KV1,TB,Junior,1000-1500
GT,PB,LON,FrontEnd,KV2,CB,Junior,1000-1500
TT,PB,LON,FrontEnd,KV2,KC,Junior,1000-1500
TT,PB,LON,FrontEnd,KV1,DV,Intership,1000-1500
LVN,PB,LON,FrontEnd,KV1,TT,Intership,1000-1500
GT,PB,LON,BackEnd,KV1,CB,Intership,1000-1500
GT,PB,LON,BackEnd,KV1,KC,Intership,500-1000
QLTG,PB,LON,Mobile,KV2,DV,Intership,1000-1500
LVN,PB,LON,Mobile,KV2,TT,Intership,1000-1500
TT,PB,LON,FrontEnd,KV2,CB,Intership,1000-1500
LVN,PB,LON,FrontEnd,KV2,KC,Intership,500-1000
TT,TB,LON,FrontEnd,KV1,TT,Junior,1000-1500
LVN,TB,LON,FrontEnd,KV1,CB,Junior,1000-1500
LVN,TB,LON,FrontEnd,KV1,KC,Junior,500-1000
LVN,TB,LON,Mobile,KV1,DV,Junior,1000-1500
LVN,TB,TB,FrontEnd,KV1,DV,Junior,1000-1500
TT,TB,TB,Tester,KV1,DV,Junior,1000-1500
GT,TB,TB,"BackEnd,FrontEnd",KV1,DV,Junior,1000-1500
LVN,TB,TB,"BackEnd,Mobile",KV1,DV,Junior,1000-1500
GT,TB,TB,"FrontEnd,Mobile",KV1,DV,Junior,1000-1500
GT,TB,TB,"Mobile,BackEnd,FrontEnd",KV1,CB,Junior,500-1000
QLTG,TB,TB,Developer Opition,KV1,CB,Junior,1000-1500
LVN,TB,TB,FrontEnd,KV3,CB,Junior,500-1000
TT,TB,TB,FrontEnd,KV2,CB,Junior,500-1000
LVN,TB,NHO,FrontEnd,KV2,CB,Junior,500-1000
TT,TB,LON,FrontEnd,KV2,CB,Junior,1000-1500
LVN,TB,TB,FrontEnd,KV1,CB,Fresher,500-1000
LVN,TB,TB,FrontEnd,KV1,TT,Senior,1000-1500
LVN,TB,TB,FrontEnd,KV1,CB,Senior,1000-1500
LVN,TB,TB,FrontEnd,KV1,DV,Senior,1000-1500
GT,TB,TB,"FrontEnd,Mobile",KV1,KC,Senior,500-1000
QLTG,TB,NHO,"FrontEnd,BackEnd,Mobile",KV1,TT,Senior,500-1000
TT,TB,LON,BackEnd,KV1,TT,Senior,1000-1500
